Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
3,1,1,1,19,1,2,31535,7,4,2,7,4,3,3,4,5,3,4,2,3,3,1,4,3,2,9035,8031,10072,8325,26116,10538,4365,21007,6933,10493,8842,5447,16283,6842,12485,9898,10845,15168,1,1,1,5,5,6,2,3,4,3,3,3,1,2,2,6,6,3,11592,25230,17772,14665,13448,9938,11873,6015,36848,15241,19343,6252,9873,41685,6803,14073,99,99,99,99,5,5,2,10285,5483,6,4,6,5,7,4,6,4.666666667,7,3,3,6,7,6,5,4.5625,11151.38889,16290.6875,4,1,0,0
4,1,2,2,21,1,2,24493,7,4,4,7,5,1,2,1,6,5,1,6,5,5,3,6,2,3,6245,3770,3730,7305,5575,6847,3555,5095,7785,10615,4278,4750,16725,4435,3583,18901,7445,11953,1,2,6,6,4,5,5,7,7,6,5,5,3,3,5,6,7,3,6550,9413,13020,6368,5365,4562,9083,2962,4030,9555,6078,5713,5278,6070,3450,6935,99,99,99,99,5,6,3,4730,3130,4,3,2,3,5,2,5,3.611111111,2,2,4,3,5,5,5,4.9375,7366.222222,6527,4.666666667,1,1,0
6,1,2,1,20,1,2,18571,7,4,7,1,1,1,2,2,1,4,1,1,7,1,1,5,1,7,3060,3857,2850,5702,6888,2997,3642,4385,3058,7310,4145,9191,4608,37393,8127,5405,5290,9800,1,2,7,3,1,7,3,7,7,7,7,7,4,1,7,7,7,1,7725,6295,10465,4530,9653,4840,4530,2370,2265,3657,19525,3453,8875,5370,5883,4380,99,99,99,99,2,3,1,6725,3965,1,7,7,1,7,3,1,2.888888889,1,5,7,5,4,7,7,6.1875,7094.888889,6488.5,2,1,1,0
8,1,2,1,20,1,2,15082,7,4,6,5,2,2,2,4,5,3,2,3,3,4,1,5,4,3,3617,4590,3727,8315,6465,5023,5703,5470,6170,8061,3305,3710,5792,4450,4030,3320,8361,9192,1,2,5,2,2,7,2,7,6,7,7,6,1,1,7,7,7,1,7878,7712,8045,7925,4725,3192,6585,2296,4105,6482,4093,5518,3812,3000,3987,6143,99,99,99,99,5,6,5,6173,3890,2,6,5,5,7,3,5,4.166666667,3,6,6,6,7,7,7,6.4375,5516.722222,5343.625,5.333333333,1,1,0
13,1,2,1,20,3,2,31218,3,5,7,1,3,4,1,5,2,4,3,7,1,6,4,5,3,6,7872,4298,4603,5403,7548,6990,3010,6405,20310,13137,4795,4953,7511,12730,7665,4615,8033,10155,1,2,4,6,1,6,1,7,4,7,4,3,1,2,6,6,7,1,12428,7105,16327,21865,7350,4720,11426,3273,6320,10280,14176,9240,8082,10005,16360,9277,99,99,99,99,5,6,2,7310,5098,1,5,1,7,4,3,2,3.333333333,4,2,7,7,7,6,7,5.625,7779.611111,10514.625,4.333333333,1,1,0
15,1,2,2,18,1,2,10972,6,5,3,6,4,2,3,5,6,6,4,5,2,5,4,5,6,2,3837,2737,2657,3800,11768,3473,4005,3878,6050,6118,6435,2765,6250,4860,5247,5065,5053,5891,1,2,7,4,4,2,6,7,7,7,7,3,1,1,5,5,6,5,5297,6425,8493,4963,5192,3567,7420,2500,2777,7488,4215,4060,8008,3505,4528,10716,99,99,99,99,6,6,5,4465,2368,5,4,3,6,4,3,6,4.722222222,1,4,4,2,7,7,3,4.8125,4993.833333,5572.125,5.666666667,1,1,0
16,1,2,2,29,1,2,18686,7,6,1,7,1,6,5,6,6,6,6,1,1,6,1,2,2,3,3995,4573,4131,6465,6047,5975,5427,6415,5068,6265,4345,3495,6420,5973,4222,4358,6550,13565,1,2,7,4,2,5,5,6,2,7,7,6,1,2,6,6,7,2,8403,5945,9420,11211,9722,4733,8720,5305,5855,9090,5190,4917,6726,4430,4705,5693,99,99,99,99,5,7,2,10830,5563,7,7,7,7,7,6,5,6.055555556,1,4,6,3,7,6,6,5.3125,5738.277778,6879.0625,4.666666667,1,1,0
20,1,1,1,20,1,2,26620,7,1,2,7,4,1,6,2,7,5,1,1,4,7,4,6,7,2,3737,6120,3808,4193,6795,4255,3855,4805,4450,7795,3398,2710,6888,5430,4177,3680,4448,10513,1,2,4,4,1,6,4,6,6,7,2,3,1,4,5,5,7,4,11065,4702,7695,7625,4330,3693,5195,3432,8385,6260,4607,4177,9780,6603,4375,26333,99,99,99,99,5,7,5,7000,3608,6,4,7,4,4,2,6,4.666666667,4,4,7,4,7,4,4,5.0625,5058.722222,7391.0625,5.666666667,1,1,0
31,1,2,1,20,1,2,23152,5,4,6,6,3,2,3,4,2,3,3,4,4,4,3,4,3,2,3443,5108,3098,7262,5940,3575,3665,5965,5303,5992,4768,4333,6545,8010,7335,3952,6288,11910,1,2,5,5,3,5,4,6,6,6,4,4,2,3,3,6,7,4,7723,7440,9817,4590,3603,4660,5733,2128,5253,7735,5808,5787,10260,7190,3555,6423,99,99,99,99,5,6,4,6898,5223,2,5,4,4,5,4,6,3.833333333,3,3,5,4,6,5,4,4.8125,5694,6106.5625,5,1,1,0
33,1,1,1,19,1,1,110974,6,4,6,7,2,4,1,5,3,5,4,1,1,5,2,4,2,1,6817,6828,8051,8548,24210,6032,6305,10860,20188,11870,11986,4022,6795,8128,7026,13692,12903,20108,1,2,6,5,1,5,6,7,5,7,7,7,4,4,5,7,7,2,17693,11305,10843,10433,7947,3232,17953,4935,2980,26840,21320,15706,10112,4113,3217,12321,99,99,99,99,4,6,2,15398,11583,2,6,7,7,6,4,7,4.722222222,2,3,7,2,4,4,6,5.3125,10798.27778,11309.375,4,1,1,0
34,1,1,2,20,1,2,14293,6,4,7,6,4,3,2,5,5,2,4,4,4,2,2,3,5,2,4067,3240,2678,6818,4468,3940,4092,4195,4758,4373,5500,3881,6057,4515,5395,4327,5368,5513,1,2,3,5,3,6,2,6,4,7,6,7,6,1,5,5,7,4,9222,5943,8978,3805,3710,2707,6725,3363,4360,4023,3112,3242,4706,4883,3895,6607,99,99,99,99,5,5,3,3315,4705,1,4,4,4,6,5,6,4.111111111,5,3,5,6,2,7,4,5.3125,4621.388889,4955.0625,4.333333333,1,1,0
35,1,2,1,20,1,2,26970,6,5,7,4,1,4,2,5,2,7,4,1,2,7,1,7,7,1,4175,5480,2492,7100,7482,3661,3385,5170,4970,4408,9340,3930,6366,5863,3973,7505,6577,4053,2,1,5,1,1,7,2,7,4,7,5,7,1,1,5,7,7,1,10425,3893,6870,4188,5885,3682,8170,6831,7640,4022,3905,2970,17433,7542,7552,6523,99,99,99,99,3,5,1,6042,2410,1,7,7,6,7,1,7,4.944444444,3,7,7,6,7,7,7,6.25,5329.444444,6720.6875,3,0,0,1
38,1,2,2,19,1,2,11050,6,3,4,7,5,3,2,3,1,5,3,5,4,5,2,4,4,1,4177,4820,2905,6055,5730,4555,2965,4320,6243,5508,3957,3787,5730,6408,9130,4090,8383,7885,1,2,5,3,3,6,2,7,7,5,7,6,5,1,7,7,7,2,6615,6125,6803,3790,7996,3662,5975,3755,3255,6212,10283,3215,4625,7952,2298,4253,99,99,99,99,6,7,3,3430,3305,4,3,3,4,6,4,7,4.055555556,3,5,5,6,3,7,6,5.875,5369.333333,5425.875,5.333333333,1,1,0
40,1,2,2,20,1,2,21368,6,3,7,5,6,2,5,2,4,6,2,5,6,5,3,7,7,6,3718,2985,2535,6257,4060,3025,4370,3788,4623,7217,5053,5083,6317,11020,6760,4880,5042,6715,1,2,6,3,6,4,1,2,4,3,3,3,7,4,2,6,6,7,3702,6958,18250,4320,4303,3363,7245,3668,4667,16358,10783,5493,11303,6050,2865,2955,99,99,99,99,5,6,2,4302,2340,1,2,3,2,5,1,2,3.5,2,5,2,7,1,4,1,3.4375,5191.555556,7017.6875,4.333333333,1,1,0
42,1,1,1,18,1,2,15171,6,4,2,7,4,1,1,5,2,5,4,1,1,5,1,1,2,5,3480,3452,4300,4100,5273,4668,4001,4268,4517,5987,3773,5768,6332,6158,4053,3503,5755,7342,1,1,7,4,3,3,2,7,6,5,5,5,1,2,5,5,7,2,6345,10205,9962,1982,6970,3585,4923,4298,4585,7588,4455,4318,7273,6480,3112,5348,99,99,99,99,5,5,6,3558,3055,6,4,7,7,7,7,3,4.611111111,1,4,5,6,7,6,6,5.1875,4818.333333,5714.3125,5.333333333,1,0,0
48,1,2,1,21,1,1,30118,7,7,1,7,1,7,4,7,7,7,7,2,2,3,3,2,4,4,3033,2128,3305,4543,8453,2252,2780,3085,4513,5603,2600,2813,17020,12543,4276,2685,4715,12643,1,2,3,2,3,6,2,7,7,7,7,7,4,2,5,6,6,6,4660,7558,6340,5843,4075,4108,11388,2370,1798,3778,5452,5198,9268,3443,2698,4795,99,99,99,99,4,5,3,4002,3602,7,7,6,6,5,6,4,6,5,6,5,6,4,6,2,5.75,5499.444444,5173.25,4,1,1,0
50,1,1,1,21,1,2,20160,7,4,2,7,3,1,2,5,7,6,2,1,1,4,1,6,4,2,2508,5745,6035,5128,14493,8645,4330,12908,4460,8348,7788,3140,16788,4482,4348,6010,6908,6925,1,2,5,5,3,6,3,7,5,7,3,2,1,1,5,7,7,1,18348,11875,8470,4867,6122,6508,7255,2155,7662,7373,8628,4173,6158,7235,6687,22348,99,99,99,99,5,6,5,7258,2406,6,5,7,7,7,2,6,4.944444444,3,3,5,5,7,7,7,5.375,7166.055556,8491.5,5.333333333,1,1,0
52,1,1,2,20,1,2,11420,7,5,2,6,4,3,1,4,4,3,2,3,3,3,2,5,5,5,3303,4252,3457,4960,6205,3856,3445,4850,6865,7675,3443,4820,7137,4043,3800,5883,5950,9701,1,1,6,6,2,6,3,6,3,2,2,2,2,4,7,2,6,2,4180,4303,7393,6135,4021,4170,6638,2678,3610,5895,5885,4565,4800,8805,3158,4340,99,99,99,99,4,6,2,4575,3800,6,4,5,5,6,3,3,4.166666667,2,2,6,5,6,4,6,4.1875,5202.5,5036,4,1,0,0
57,1,2,2,19,1,2,11391,6,5,7,3,1,6,2,7,7,3,7,5,2,5,3,2,3,2,4167,3272,2460,6243,3702,3868,5011,2977,4800,5512,3010,2490,4295,5258,4650,3515,5217,5097,1,2,5,6,1,5,2,7,3,4,4,2,3,1,6,5,7,2,8593,3775,5368,3978,2665,2792,5727,3100,2473,5920,5897,3570,2928,14862,2350,3792,99,99,99,99,5,6,4,4103,2073,1,7,3,6,5,6,6,4.888888889,3,2,7,6,5,7,6,4.9375,4196.888889,4861.875,5,1,1,0
58,1,1,1,20,1,2,25280,7,4,3,5,3,7,4,3,6,5,3,1,4,2,1,5,6,1,3995,5747,21163,5528,4060,2905,3847,3783,4605,5318,3670,3870,5457,5005,4856,3737,4680,4980,1,2,6,7,1,4,4,7,3,6,7,3,1,1,4,7,7,2,6525,6435,9278,5042,3995,2560,6590,2360,4461,8025,4788,5467,5583,4150,3811,5170,99,99,99,99,2,5,3,6680,8173,5,5,7,4,7,3,7,5,2,1,7,4,7,7,6,5.125,5400.333333,5265,3.333333333,1,1,0
59,1,1,2,21,1,2,21478,5,3,2,7,6,1,2,1,7,5,1,2,5,5,2,6,3,1,11775,7408,7160,6977,14865,3785,5758,4260,5635,13532,4992,4778,10947,5875,7348,7018,7322,6813,1,2,7,7,2,1,7,7,2,5,3,2,4,4,6,7,7,2,5100,4777,8905,8905,2310,3305,5860,4990,5420,6955,7000,4160,3885,6901,4998,5447,99,99,99,99,3,6,5,7782,2803,6,2,6,3,6,2,7,4,1,1,6,1,4,4,6,3.9375,7569.333333,5557.375,4.666666667,1,1,0
61,1,1,1,20,1,2,18380,5,4,5,3,5,3,2,4,5,5,1,5,3,3,3,5,2,5,7763,5002,10755,6123,9188,4602,3167,5733,9110,10161,5643,6215,15768,8545,20710,3648,7995,8540,1,2,7,7,2,1,5,6,5,4,1,3,1,7,5,7,7,5,10890,7255,9215,5563,8703,4452,11555,4942,3622,15403,3815,5257,13008,6786,5452,14232,99,99,99,99,4,3,4,6263,5187,3,3,3,5,5,3,3,3.444444444,1,1,6,3,7,1,3,3.8125,8259.333333,8134.375,3.666666667,1,1,0
67,1,2,1,18,1,2,39961,7,7,7,7,1,5,2,5,2,2,4,1,2,6,2,5,7,1,6358,4060,6140,6287,6870,7793,5075,6915,7622,7175,14578,4055,9785,8108,4800,5378,8388,8033,1,2,6,1,2,3,4,7,6,4,7,7,1,2,7,6,7,1,9852,6713,21042,13773,6800,8530,7827,6853,4332,4935,10283,8272,10383,6807,4310,5095,99,99,99,99,5,5,5,9338,10193,1,7,7,6,6,3,7,5.055555556,2,7,6,4,7,6,7,5.8125,7078.888889,8487.9375,5,1,1,0
68,1,1,1,20,4,2,16898,7,3,3,6,5,2,1,7,2,2,6,1,1,4,4,4,3,3,6417,6075,4715,5575,9988,4260,3758,5420,4058,7871,4102,10075,7603,5260,4553,3730,6690,6970,2,1,7,4,2,7,7,7,7,7,7,3,2,1,1,4,7,5,7632,4383,8250,3990,3700,2487,7662,5300,2705,6160,4437,4175,3740,11796,3912,6105,99,99,99,99,4,6,3,5493,3703,5,3,7,7,4,4,5,4.333333333,1,4,6,1,6,7,3,4.875,5951.111111,5402.125,4.333333333,0,0,1
70,1,1,1,20,1,2,33898,6,6,4,7,5,1,4,2,4,7,2,4,5,6,2,6,6,5,4840,6292,5815,5215,8213,5905,4355,3975,8723,5795,3863,4305,7400,4700,7725,6035,9523,10132,1,2,7,2,2,7,2,7,7,7,7,7,1,1,7,7,7,2,7043,8265,7445,4380,3592,3218,5706,3765,3180,5325,4797,4335,4473,6748,4395,4798,99,99,99,99,6,7,5,5155,3882,4,3,4,3,6,2,3,4.222222222,1,6,6,6,7,7,6,6.375,6267.277778,5091.5625,6,1,1,0
71,1,2,1,24,1,2,32188,7,5,1,7,2,6,1,4,7,6,4,1,4,3,2,4,2,6,4998,6400,5007,4572,6917,5337,4693,4902,5587,7450,6115,5430,5010,8768,8032,4970,7610,11057,1,2,7,3,2,5,3,7,4,6,6,6,1,1,5,7,7,1,9731,10817,9455,11348,5960,8688,7720,3853,3881,7917,7172,7015,6742,4273,3273,6272,99,99,99,99,5,7,4,6770,6958,7,6,7,4,6,4,2,4.888888889,1,5,6,5,7,7,7,5.6875,6269.722222,7132.3125,5.333333333,1,1,0
76,1,1,2,18,4,2,22486,7,3,1,7,4,3,5,5,5,7,2,2,4,5,4,3,6,1,4573,3960,2190,4508,5170,2090,2888,5342,8248,5975,4127,3238,11723,6920,3680,2680,4090,4338,1,1,7,6,6,1,6,5,3,6,3,3,1,7,5,5,3,6,5653,6600,14760,2422,3435,3821,6698,4190,6025,3742,4080,2875,5703,8275,13342,5272,99,99,99,99,3,2,2,4158,2215,7,4,6,4,4,5,7,5.111111111,1,2,2,2,7,1,2,3.1875,4763.333333,6055.8125,2.333333333,1,0,0
79,1,2,1,18,1,2,10855,6,4,2,7,4,3,3,6,6,6,5,2,3,5,2,4,4,3,3220,2887,3280,5002,4663,5403,2873,4307,4675,4725,4125,3565,5408,5006,3960,7938,4835,6960,1,2,7,5,4,5,4,5,4,6,6,5,4,3,5,5,6,6,6522,5360,13498,5250,3667,3460,7165,3440,2935,4620,3587,4962,5820,3010,5183,4090,99,99,99,99,4,6,7,4727,4022,6,4,6,5,6,4,5,5.055555556,1,3,4,4,4,5,2,4.375,4601.777778,5160.5625,5.666666667,1,1,0
84,1,2,1,18,3,2,20561,2,2,5,6,3,2,2,2,5,3,1,1,1,5,2,5,3,6,5568,6340,3580,4330,9482,5508,3228,2966,10120,4365,5443,3490,13641,7090,5845,6470,10148,6815,1,2,7,6,2,7,6,6,6,5,3,2,5,2,5,7,6,3,3852,4622,9688,4143,4430,3877,7798,4338,10561,8307,4708,3772,5867,7668,13585,6715,99,99,99,99,5,5,3,4375,6643,3,5,7,7,6,3,2,3.666666667,1,2,6,2,3,6,5,4.5,6357.166667,6495.6875,4.333333333,1,1,0
86,1,1,1,18,3,2,18911,5,2,7,1,2,2,2,6,2,6,6,1,2,5,2,2,6,4,6217,4860,9583,6753,5417,3800,3125,6435,3650,5503,9890,4242,7105,5215,3585,2915,5877,8807,1,2,6,6,2,6,2,7,7,7,7,7,2,2,6,6,7,1,7003,3353,7282,3380,3658,3670,7760,2615,3098,3468,6277,4860,5337,7360,4397,4143,99,99,99,99,2,6,5,6028,3842,1,6,7,6,6,6,4,4.388888889,2,2,6,6,6,6,7,5.9375,5721.055556,4853.8125,4.333333333,1,1,0
90,1,1,1,22,1,2,10655,3,4,6,5,4,6,2,7,6,3,4,6,1,4,1,1,1,5,6935,7950,3812,7540,6870,6255,3812,4212,4830,7095,4395,5172,8858,5390,3300,4297,3962,6450,1,2,1,6,1,7,1,7,4,3,3,4,1,5,7,7,7,4,7360,5460,10648,4977,5223,4337,5255,7158,4755,4410,4820,7865,5080,4316,3180,4918,99,99,99,99,4,5,2,4925,11956,2,4,2,7,7,7,3,4.277777778,7,2,7,7,7,3,4,5.375,5618.611111,5610.125,3.666666667,1,1,0
96,1,1,1,23,1,2,42020,7,3,6,7,1,2,1,7,3,5,5,1,1,6,1,1,1,1,6712,9190,5415,5246,6850,4275,6358,3770,11620,10713,6660,3543,23553,4915,5332,4383,6083,7740,1,2,2,6,1,7,1,6,3,7,2,2,1,1,7,7,7,1,6595,5568,7452,4828,4808,5165,7270,2967,6557,5528,3412,2973,6137,4570,6358,5523,99,99,99,99,4,6,1,16430,3853,2,7,7,7,7,7,7,5.055555556,6,2,7,7,7,7,7,5.6875,7353.222222,5356.9375,3.666666667,1,1,0
98,1,1,2,18,1,2,37666,7,4,2,4,4,4,4,4,2,3,3,2,4,5,3,5,5,5,3105,3685,3283,6041,9395,2767,3125,3235,4825,7010,6960,3535,5710,4810,7960,6453,6928,8582,1,1,5,3,2,2,2,6,5,6,6,6,2,2,6,6,6,2,9012,5903,6902,5905,5120,4590,8233,3430,3105,4330,6952,3568,4312,3833,2923,3373,99,99,99,99,4,4,1,6553,3940,6,4,6,4,5,3,3,4.222222222,3,5,6,6,6,6,6,5.4375,5411.611111,5093.1875,3,1,0,0
103,1,2,1,20,3,2,14248,3,3,6,1,5,4,2,5,1,3,4,5,3,3,6,4,1,3,5881,7438,3612,5905,7110,6138,4901,5750,5145,7878,7595,3758,9232,12568,4740,3727,9921,12555,1,1,6,4,5,7,2,6,6,7,3,4,2,2,5,5,7,2,13905,7432,8743,5053,10357,4840,7871,5787,6357,5108,10357,5228,4268,5058,6370,4958,99,99,99,99,3,6,5,7055,4633,2,3,3,5,2,4,5,3,2,4,3,6,6,6,6,5.1875,6880.777778,6980.75,4.666666667,1,0,0
107,1,1,1,19,1,2,16035,5,6,6,4,2,2,2,2,2,5,4,2,2,5,3,3,5,6,8885,6663,4427,8122,10687,4730,3738,5380,3837,6495,4810,4867,36453,6900,7620,8468,9295,6855,1,1,7,4,3,5,3,6,5,5,6,5,2,2,2,6,7,2,5960,12545,20621,6360,4480,4442,8423,6162,9850,5427,5590,4412,4960,10655,23641,6485,99,99,99,99,5,6,4,8560,6698,2,6,6,6,5,5,2,4.111111111,1,4,5,5,6,6,6,5,8235.111111,8750.8125,5,1,0,0
109,1,1,1,40,1,2,10045,6,3,1,6,4,5,3,3,7,2,5,1,1,5,1,4,5,2,3393,3345,2332,5860,10230,5290,4650,6161,4817,6643,7310,4128,9023,7025,5300,4032,6702,9843,1,2,7,6,5,6,4,4,3,2,2,2,4,5,5,5,6,3,3985,3880,8235,8005,6883,6503,4767,6485,4407,9656,6138,14630,5620,4005,9722,3982,99,99,99,99,3,4,1,4785,8263,7,4,7,7,7,4,6,5.111111111,1,2,3,4,4,3,5,3.5625,5893.555556,6681.4375,2.666666667,1,1,0
112,1,2,1,24,1,2,17560,7,6,1,7,1,7,6,7,2,7,7,1,1,7,1,1,7,6,3420,4625,2585,4355,9713,3158,4280,4305,9745,6718,3163,2720,4318,3740,3410,2530,4610,13288,1,2,6,3,3,7,3,7,6,7,7,7,2,1,7,7,7,3,7003,7205,10823,3700,5965,3970,7795,9558,1980,3503,5685,3650,7108,4223,2980,4962,99,99,99,99,2,6,3,6058,2953,7,7,7,7,7,7,2,6.333333333,2,5,5,5,6,7,5,6.0625,5037.944444,5631.875,3.666666667,1,1,0
115,1,2,1,19,1,1,16937,7,4,7,1,5,1,1,1,2,2,2,7,5,1,6,6,1,7,5425,12553,3670,7068,14868,3725,4110,4900,4991,14175,7990,3205,11338,6832,4920,3887,6043,9138,1,1,2,6,1,6,1,7,7,7,2,2,4,1,7,7,7,1,18143,11102,11648,13842,5670,3720,8255,3658,8085,5332,10563,10945,7150,6175,4748,4682,99,99,99,99,5,7,6,7520,3310,1,3,1,3,2,2,1,2,6,2,7,7,4,7,7,5.75,7157.666667,8357.375,6,1,0,0
2,2,2,1,20,1,2,19798,6,3,6,5,1,5,3,7,5,3,5,3,3,2,3,3,3,4,6195,6542,3580,4038,5848,4533,4792,5127,4185,5532,3811,7602,4210,5382,6335,5217,5360,7123,99,99,5,4,3,5,3,6,4,5,5,5,1,5,4,7,7,3,7643,6617,14070,4960,4683,4180,11008,3548,5392,6251,7355,4948,9197,3952,10280,4740,2,2,99,99,5,7,5,4902,4682,2,7,5,5,5,5,4,4.444444444,3,4,5,5,7,3,5,5,5300.666667,6801.5,5.666666667,1,0,0
7,2,1,2,20,1,1,21825,6,4,4,6,5,2,2,2,6,6,2,4,5,2,5,5,2,3,3470,3238,3005,3230,9213,7953,2070,3015,4478,5762,4720,4955,8741,8363,4603,4220,4328,10108,99,99,7,7,3,4,6,5,4,4,2,2,2,2,5,5,6,5,13068,6157,12175,7275,3265,3968,8062,4043,13270,4115,5298,2375,5751,3290,3465,10313,2,2,99,99,6,6,6,5997,2750,4,3,4,3,3,3,5,3.611111111,1,1,5,2,6,6,3,3.8125,5304,6618.125,6,1,0,0
10,2,2,2,17,1,2,47103,7,4,1,7,6,4,1,4,1,3,3,7,3,1,4,4,3,2,7512,6218,7628,5738,12738,10345,4090,10211,6165,11085,8176,7893,9705,6948,4892,10618,8603,11838,99,99,6,7,3,6,4,7,5,5,3,3,4,2,6,7,6,3,15858,10615,15437,8746,8618,5532,14358,7662,7375,8055,7608,6888,6218,5750,5360,5695,2,2,99,99,7,7,6,5741,4080,7,2,1,5,4,4,6,3.722222222,2,1,5,4,4,6,5,4.6875,8355.722222,8735.9375,6.666666667,1,0,0
11,2,2,2,20,1,2,21076,7,6,4,7,1,5,1,7,4,3,4,6,1,3,4,1,1,1,7257,2937,5313,5928,5808,4617,4955,4832,18481,9340,6395,5428,4185,11317,5577,3153,4288,14403,99,99,4,4,2,7,3,6,4,6,6,6,1,2,3,4,6,5,6212,6345,11265,3767,6328,2950,7527,2683,2905,5623,5823,6815,8125,7975,3975,23375,1,2,99,99,5,6,1,6235,3928,4,7,2,7,4,7,7,4.777777778,4,4,6,5,7,6,3,5.1875,6900.777778,6980.8125,4,0,0,1
14,2,2,2,20,1,2,29261,7,3,1,5,4,4,3,4,3,3,4,2,2,4,3,3,3,5,3445,5910,3023,6433,5302,4230,3818,5822,5270,8123,7915,3582,5475,6120,3920,8125,6247,7240,99,99,7,5,1,1,5,7,5,4,4,4,1,5,5,7,7,4,5305,6450,6963,4953,6415,5828,5040,4258,5007,3890,5687,6645,10327,4431,3183,6797,2,2,99,99,4,6,5,5921,8630,7,4,6,6,5,5,3,4.388888889,1,3,7,3,7,3,4,4.5,5555.555556,5698.6875,5,1,0,0
17,2,1,1,19,1,2,20623,5,3,3,7,4,2,5,5,6,6,3,4,3,5,5,3,6,3,4117,4382,3742,6025,6800,4662,4285,6823,5643,7178,3470,4675,6650,5767,5495,4015,6908,7115,99,99,5,6,2,5,3,6,6,6,7,5,4,2,5,5,6,2,6170,6488,10123,5417,4717,4565,6063,2200,4798,7327,9933,5215,7305,4783,7395,4292,1,2,99,99,3,5,3,7472,5718,5,4,4,5,3,5,5,4.666666667,3,2,6,5,4,6,6,5.1875,5430.666667,6049.4375,3.666666667,0,0,1
18,2,1,1,20,1,2,14625,6,3,7,5,3,6,2,7,1,1,5,7,1,1,3,5,3,3,4635,6108,1968,5102,5995,3040,4400,3287,5183,6363,3552,3570,3561,2698,3710,2552,5680,8172,99,99,6,5,2,7,1,7,7,7,7,7,3,1,5,6,7,3,4663,4930,5640,2218,2580,2725,5040,1473,1562,2475,5405,2673,6323,3192,3130,3145,2,1,99,99,3,7,6,6123,2227,1,5,1,7,5,3,5,3.722222222,2,3,6,7,5,7,5,5.9375,4420.888889,3573.375,5.333333333,1,1,0
19,2,2,1,19,1,2,9802,7,7,2,7,5,2,5,2,2,7,1,1,5,7,2,5,7,1,3533,3655,3507,4863,6700,3837,3421,4080,6595,5195,3513,3038,6305,3600,7222,5958,4807,5835,99,99,7,6,2,7,2,7,7,7,2,2,7,4,7,1,6,2,6998,5645,9770,7390,3965,3365,7090,2163,3890,3693,3560,5595,5898,5397,3775,5988,2,1,99,99,3,5,4,5913,2857,6,3,7,3,6,3,7,4.944444444,1,2,6,6,1,4,6,4.5,4759.111111,5261.375,4,1,1,0
24,2,1,2,20,1,2,11967,4,5,2,3,1,5,1,5,3,6,4,5,3,2,4,5,1,3,5936,4275,4715,5657,8052,6540,4156,4100,12922,9230,3363,4548,4500,5065,3668,3728,8087,13068,99,99,7,6,2,6,2,6,3,4,4,5,1,3,6,6,7,2,10182,6908,6213,3393,4467,3198,5953,4505,2400,24743,5253,9636,4103,3860,2630,4305,2,2,99,99,2,5,3,5430,7418,6,7,3,5,4,3,5,4,1,2,6,6,7,5,6,5,6200.555556,6359.3125,3.333333333,1,0,0
26,2,1,1,19,3,2,16598,6,3,3,2,2,4,1,5,2,2,3,2,3,1,5,4,5,2,4043,3753,4523,13890,8618,7960,3633,6775,4060,6490,14523,3283,27276,6010,3645,7305,9595,7441,99,99,3,5,1,6,4,6,4,7,5,3,2,1,7,6,7,2,12895,4353,11915,3900,6542,14430,10915,2463,6550,19483,3368,4867,4553,5513,4705,16228,1,2,99,99,5,6,5,7170,7000,5,6,6,5,3,4,6,3.833333333,5,3,7,4,6,7,6,5.5625,7934.611111,8292.5,5.333333333,0,0,1
27,2,1,1,19,3,2,8448,4,3,6,4,5,5,1,4,1,1,2,6,2,5,6,5,1,6,3623,4575,3295,3742,4753,7360,2772,3112,4110,4620,4335,7313,5277,4583,4730,2850,4452,4890,99,99,2,5,1,7,1,7,6,5,5,5,4,2,7,6,6,1,5930,4303,4462,2593,3463,2095,3815,2825,2325,3587,4808,3010,2848,3535,4213,2895,2,1,99,99,5,6,2,5600,3317,2,3,2,6,2,3,2,2.833333333,6,3,7,7,4,6,7,5.875,4466.222222,3544.1875,4.333333333,1,1,0
