Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
5,3,1,1,19,1,99,99,5,4,5,6,4,3,1,5,2,1,2,6,4,3,4,5,1,6,9215,5738,3515,7155,6943,4000,2942,3530,6518,5057,4053,3322,5542,6790,3575,4798,5723,10025,99,99,5,3,1,5,2,6,6,6,6,6,3,2,6,6,6,2,5730,4655,6838,2907,3148,3083,4542,2532,2595,4097,3998,3738,3722,3067,2845,5090,99,99,2,1,4,4,1,4168,6565,3,4,2,4,4,3,2,3.055555556,3,5,7,6,5,6,6,5.6875,5468.944444,3911.6875,3,1,1,0
9,3,2,1,20,1,99,99,6,4,3,6,4,3,1,3,3,6,2,4,1,5,2,3,2,4,8423,3127,4070,3697,4835,3082,4180,4713,4990,4403,4217,3465,7830,4700,3752,3185,6491,5608,99,99,3,5,2,7,2,7,5,5,4,4,3,1,4,6,7,2,10077,7885,7215,4263,5605,4108,5990,3453,4233,5355,7670,5218,6431,3708,3470,8547,99,99,2,1,4,6,3,3842,5045,5,4,4,7,6,5,4,4.222222222,5,3,6,6,5,7,6,5.4375,4709.333333,5826.75,4.333333333,1,1,0
12,3,1,2,20,1,99,99,7,2,7,5,4,2,2,3,5,2,2,2,2,1,6,5,2,3,5055,5625,4625,7802,9466,3555,2743,4250,5888,6403,3075,4198,5867,8600,6397,4837,8393,17537,99,99,7,4,2,6,2,7,6,6,6,4,2,2,7,7,7,1,6110,7831,9042,9078,3230,3285,6523,2545,6023,7637,8398,4055,7323,4130,3595,4917,99,99,2,1,4,7,1,5155,4600,1,4,6,6,2,3,5,3.333333333,1,4,6,6,6,6,7,5.75,6350.888889,5857.625,4,1,1,0
21,3,1,1,19,3,99,99,6,6,5,5,1,2,3,5,5,5,4,1,1,5,2,2,6,1,5753,6470,4348,5790,8620,3713,3948,4527,6703,8463,4328,4115,7470,6825,3855,3922,7975,7488,99,99,7,1,1,5,4,7,7,7,7,6,3,1,7,6,6,2,7720,9278,11458,6975,5142,5660,9578,2938,5015,9837,8962,5720,10558,6288,6912,6735,99,99,2,1,4,5,7,3795,5060,3,7,7,7,6,6,7,5.277777778,1,7,7,4,5,7,6,5.9375,5795.166667,7423.5,5.333333333,1,1,0
22,3,1,1,19,3,99,99,7,7,6,7,2,5,3,6,7,7,5,1,2,7,2,4,7,1,6725,3360,3096,3870,8610,4083,3807,3383,3822,3856,3812,3283,17515,2815,3550,5865,3467,4672,99,99,1,5,1,7,1,7,7,7,6,5,2,2,7,7,7,1,6030,4700,8608,3843,2948,3740,5585,1677,6563,3513,3350,2880,5020,3015,2695,5313,99,99,2,1,3,5,5,9925,2247,2,6,7,6,6,4,7,5.888888889,7,3,7,7,6,6,7,6.4375,4977.277778,4342.5,4.333333333,1,1,0
23,3,2,1,20,1,99,99,2,5,4,6,3,4,2,4,2,5,4,3,4,2,3,4,1,1,6847,6092,3698,7308,11780,4062,4570,4998,5973,7057,3142,5635,9593,6880,6853,3640,5722,5373,99,99,3,4,1,7,1,7,5,6,4,4,1,1,7,4,5,2,10480,6782,7150,3185,3945,3900,6578,3142,3170,4087,3650,3022,3980,6273,3830,9242,99,99,2,1,1,4,6,6407,3993,4,5,5,4,5,4,7,3.944444444,5,4,7,7,7,7,6,5.75,6067.944444,5151,3.666666667,1,1,0
25,3,1,1,19,3,99,99,7,7,5,6,2,2,3,5,3,6,2,2,3,5,2,2,7,2,3973,1888,6235,3398,16077,5433,4313,3428,3650,8045,2950,3203,14843,7225,3650,10190,4546,4335,99,99,6,2,2,5,2,6,7,7,7,7,1,3,4,6,7,2,10373,3882,4787,12265,5010,2328,4325,1420,2232,2403,6968,3223,7610,13460,2947,4697,99,99,2,1,3,6,5,4868,5163,3,6,6,5,6,6,6,5.055555556,2,6,6,6,7,5,6,5.875,5965.666667,5495.625,4.666666667,1,1,0
28,3,1,2,32,1,99,99,6,4,7,2,4,2,1,2,1,1,3,7,5,1,3,5,1,7,10448,10890,8787,6122,22408,4415,3422,4326,4232,5407,8970,5103,9016,5283,8780,4265,12278,5655,99,99,7,6,1,6,1,7,2,5,5,5,1,1,6,6,6,2,7205,8522,12738,7755,6282,3550,14758,4642,5127,5242,3837,4242,5173,4540,6805,5808,99,99,2,1,4,2,1,9367,9602,1,4,1,3,5,3,1,2.333333333,1,2,7,7,7,7,6,5.3125,7767.055556,6639.125,2.333333333,1,1,0
30,3,2,1,20,2,99,99,6,5,3,7,2,2,1,6,6,1,1,4,2,2,5,4,3,5,3220,6635,3923,3082,7715,2745,2417,2438,2748,3610,2637,4723,4300,3905,5135,3717,5760,3670,99,99,7,6,1,5,2,7,6,6,5,3,1,2,6,7,7,1,5243,3990,6225,7423,4143,2945,4450,2405,4313,5072,5638,4603,4538,2462,2015,3070,99,99,2,1,4,5,2,3770,4128,5,6,4,6,3,4,3,3.944444444,1,2,7,6,7,6,7,5.5,4021.111111,4283.4375,3.666666667,1,1,0
32,3,1,1,19,1,99,99,6,5,2,6,4,3,3,5,5,4,5,3,3,5,3,4,3,4,5657,7090,5455,5558,15656,6510,6145,10666,6335,9695,9240,4393,6243,5742,5963,6170,6048,6530,99,99,6,5,2,3,5,5,5,4,4,3,3,3,4,5,6,4,9322,6375,12217,8925,4500,9616,13183,9750,4610,9401,6555,5525,6725,7468,5665,6032,99,99,2,1,3,5,4,11998,5870,6,4,5,5,5,4,4,4.611111111,2,3,6,3,5,5,4,4.1875,7172,7866.8125,4,1,1,0
